a1.medium	$0.014 per Hour	$0.018 per Hour
a1.large	$0.028 per Hour	$0.036 per Hour
a1.xlarge	$0.056 per Hour	$0.071 per Hour
a1.2xlarge	$0.112 per Hour	$0.143 per Hour
a1.4xlarge	$0.224 per Hour	$0.286 per Hour
a1.metal	$0.224 per Hour	$0.286 per Hour
m5.large	$0.053 per Hour	$0.067 per Hour
m5.xlarge	$0.106 per Hour	$0.134 per Hour
m5.2xlarge	$0.211 per Hour	$0.269 per Hour
m5.4xlarge	$0.422 per Hour	$0.538 per Hour
m5.8xlarge	$0.845 per Hour	$1.075 per Hour
m5.12xlarge	$1.267 per Hour	$1.613 per Hour
m5.16xlarge	$1.69 per Hour	$2.15 per Hour
m5.24xlarge	$2.534 per Hour	$3.226 per Hour
m5d.large	$0.062 per Hour	$0.079 per Hour
m5d.xlarge	$0.124 per Hour	$0.158 per Hour
m5d.2xlarge	$0.249 per Hour	$0.316 per Hour
m5d.4xlarge	$0.497 per Hour	$0.633 per Hour
m5d.8xlarge	$0.994 per Hour	$1.266 per Hour
m5d.12xlarge	$1.492 per Hour	$1.898 per Hour
m5d.16xlarge	$1.989 per Hour	$2.531 per Hour
m5d.24xlarge	$2.983 per Hour	$3.797 per Hour
m5n.large	$0.065 per Hour	$0.083 per Hour
m5n.xlarge	$0.131 per Hour	$0.167 per Hour
m5n.2xlarge	$0.262 per Hour	$0.333 per Hour
m5n.4xlarge	$0.524 per Hour	$0.666 per Hour
m5n.8xlarge	$1.047 per Hour	$1.333 per Hour
m5n.12xlarge	$1.571 per Hour	$1.999 per Hour
m5n.16xlarge	$2.094 per Hour	$2.666 per Hour
m5n.24xlarge	$3.142 per Hour	$3.998 per Hour
m5dn.large	$0.075 per Hour	$0.095 per Hour
m5dn.xlarge	$0.15 per Hour	$0.19 per Hour
m5dn.2xlarge	$0.299 per Hour	$0.381 per Hour
m5dn.4xlarge	$0.598 per Hour	$0.762 per Hour
m5dn.8xlarge	$1.197 per Hour	$1.523 per Hour
m5dn.12xlarge	$1.795 per Hour	$2.285 per Hour
m5dn.16xlarge	$2.394 per Hour	$3.046 per Hour
m5dn.24xlarge	$3.59 per Hour	$4.57 per Hour
m5ad.large	$0.057 per Hour	$0.072 per Hour
m5ad.xlarge	$0.113 per Hour	$0.144 per Hour
m5ad.2xlarge	$0.227 per Hour	$0.288 per Hour
m5ad.4xlarge	$0.453 per Hour	$0.577 per Hour
m5ad.12xlarge	$1.36 per Hour	$1.73 per Hour
m5ad.24xlarge	$2.719 per Hour	$3.461 per Hour
t2.micro	$0.006 per Hour	$0.008 per Hour
t2.small	$0.013 per Hour	$0.016 per Hour
t2.medium	$0.026 per Hour	$0.032 per Hour
t2.large	$0.051 per Hour	$0.065 per Hour
t2.xlarge	$0.102 per Hour	$0.13 per Hour
t2.2xlarge	$0.204 per Hour	$0.26 per Hour
t3.nano	$0.003 per Hour	$0.004 per Hour
t3.micro	$0.006 per Hour	$0.007 per Hour
t3.small	$0.011 per Hour	$0.015 per Hour
t3.medium	$0.023 per Hour	$0.029 per Hour
t3.large	$0.046 per Hour	$0.058 per Hour
t3.xlarge	$0.092 per Hour	$0.116 per Hour
t3.2xlarge	$0.183 per Hour	$0.233 per Hour
t3a.2xlarge	$0.165 per Hour	$0.211 per Hour
t3a.large	$0.041 per Hour	$0.053 per Hour
t3a.medium	$0.021 per Hour	$0.026 per Hour
t3a.micro	$0.005 per Hour	$0.007 per Hour
t3a.nano	$0.003 per Hour	$0.003 per Hour
t3a.small	$0.01 per Hour	$0.013 per Hour
t3a.xlarge	$0.083 per Hour	$0.105 per Hour
m4.large	$0.055 per Hour	$0.07 per Hour
m4.xlarge	$0.11 per Hour	$0.14 per Hour
m4.2xlarge	$0.22 per Hour	$0.28 per Hour
m4.4xlarge	$0.44 per Hour	$0.56 per Hour
m4.10xlarge	$1.1 per Hour	$1.4 per Hour
m4.16xlarge	$1.76 per Hour	$2.24 per Hour
m5a.large	$0.047 per Hour	$0.06 per Hour
m5a.xlarge	$0.095 per Hour	$0.12 per Hour
m5a.2xlarge	$0.189 per Hour	$0.241 per Hour
m5a.4xlarge	$0.378 per Hour	$0.482 per Hour
m5a.8xlarge	$0.757 per Hour	$0.963 per Hour
m5a.12xlarge	$1.135 per Hour	$1.445 per Hour
m5a.16xlarge	$1.514 per Hour	$1.926 per Hour
m5a.24xlarge	$2.27 per Hour	$2.89 per Hour
Compute Optimized - Current Generation
c6g.medium	$0.019 per Hour	$0.024 per Hour
c6g.large	$0.037 per Hour	$0.048 per Hour
c6g.xlarge	$0.075 per Hour	$0.095 per Hour
c6g.2xlarge	$0.15 per Hour	$0.19 per Hour
c6g.4xlarge	$0.299 per Hour	$0.381 per Hour
c6g.8xlarge	$0.598 per Hour	$0.762 per Hour
c6g.12xlarge	$0.898 per Hour	$1.142 per Hour
c6g.16xlarge	$1.197 per Hour	$1.523 per Hour
c6g.metal	$1.197 per Hour	$1.523 per Hour
c5a.large	$0.042 per Hour	$0.054 per Hour
c5a.xlarge	$0.085 per Hour	$0.108 per Hour
c5a.2xlarge	$0.169 per Hour	$0.216 per Hour
c5a.4xlarge	$0.339 per Hour	$0.431 per Hour
c5a.8xlarge	$0.678 per Hour	$0.862 per Hour
c5a.12xlarge	$1.016 per Hour	$1.294 per Hour
c5a.16xlarge	$1.355 per Hour	$1.725 per Hour
c5a.24xlarge	$2.033 per Hour	$2.587 per Hour
